1,projections,32,35,98,99,101,363,674,689,992,1069,1232,1244,1324,1467,1595,1651,1793,1820,1826,2306,2395,2416,2434,2440,2444,2487,2926,2930,2944,2949,2957,3015,3059,3310,3333,3347,3430,3445,3458,3635,3651,3680,3985,3995,4036,4045,4065,4077,4088,4550,4560,4562,4675,4701,4728,5053,5276,5302,5469,5477,5530,5760,5938,6560,6676,6824,6853,6880,7013,7021,7201,7337,7401,7453,7507,7532,7805,7826,7887,8014,8062,8078,8278,8435,8454,8462,8476,8548,8603,8616,8630,8653,8936,9013,9131,9263,9733,9782,9934,9941
1,freq,0,1,6,8,12,13,15,17,18,19,20,23,25,27,28,29,30,32,34,38,39,40,42,43,44,48,52,58,62,99,107,117,119,145,151,157,159,172,176,187,188,205,222,229,237,246,248,287,295,298,354,384,430,461,463,504,507,537,555,570,646,714,720,721,780,803,890,1116,1145,1351,1595,1606,1619,1724,1758,1814,1854,1858,1867,1874,1880,1945,7156,7167,7168,7169,7170,7171,7172,7173,7174,7175,7176,7177,7178,7179,7180,7181,7182,7183
1,crudeRI,0,1,7,8,9,14,15,16,18,20,21,22,24,25,27,29,30,32,33,34,35,37,40,41,47,48,56,58,83,84,92,103,127,130,144,145,151,158,168,188,200,205,207,224,229,232,234,235,242,295,348,379,380,434,454,458,462,530,545,553,644,674,861,867,877,1092,1184,1195,1304,1404,1778,1854,2102,2201,2431,2458,2461,2767,3320,3689,3848,3879,3937,4031,4051,4101,4129,5163,5208,5822,5861,6686,6694,6720,7350,7386,7389,9235,9238,9244
1,wAcc_u1.0,0,1,7,8,9,14,15,16,18,20,21,22,23,26,28,30,31,32,33,34,36,39,40,42,47,48,55,59,78,86,98,103,118,126,148,149,154,166,170,188,192,194,206,215,219,224,229,237,242,285,354,374,398,452,459,485,492,521,542,557,608,621,844,875,885,1068,1210,1216,1369,1429,1634,1784,1871,2173,2302,2320,2663,2910,3335,3654,3689,3851,3922,4211,4244,4252,4323,4741,4898,5717,5720,6422,6516,6539,6721,7111,7486,8780,8794,9116
1,wAcc_u2.0,0,1,7,8,9,13,15,16,18,20,21,22,24,26,27,30,31,32,33,35,37,39,40,42,46,48,55,62,70,88,100,103,117,124,150,153,154,172,175,188,191,194,198,206,207,215,230,237,239,279,371,384,422,467,487,491,517,522,549,585,589,594,826,877,887,1058,1214,1261,1418,1502,1576,1667,1703,1935,2204,2474,2646,3360,3389,3625,3663,3982,4041,4131,4164,4323,4456,4730,4919,5853,5862,6206,6496,6541,6616,7027,7510,8371,8539,9167
1,RI_u1.0_v1.0,0,1,3,6,8,9,10,11,12,15,16,17,19,20,21,24,27,29,31,33,34,35,37,38,43,44,47,53,59,75,82,97,103,113,123,126,138,139,148,149,173,174,192,198,202,203,204,218,227,235,247,263,275,370,374,382,385,395,398,453,518,536,543,588,601,768,910,1000,1007,1032,1412,1480,1602,1760,1859,2384,2467,2659,2812,2990,3119,3666,3851,3912,3991,4021,4082,4477,4792,4984,5490,5866,5939,6134,6599,6650,6869,8623,9160,9457
1,RI_norm,0,1,4,5,8,9,10,11,13,14,17,18,19,22,23,27,28,31,32,33,35,36,37,40,41,43,46,53,56,68,85,89,104,106,123,127,137,147,148,163,166,182,186,188,199,211,219,223,225,228,235,266,287,315,347,374,385,392,396,473,518,525,578,699,734,791,832,878,899,930,1268,1351,1452,1693,2293,2314,2455,2812,2975,3054,3081,3469,3720,3860,3882,3986,4223,4292,4666,5249,5685,6005,6025,6346,6363,6663,6923,8732,9239,9500
2,projections,31,49,127,164,242,285,333,346,414,522,542,964,1047,1123,1390,1397,1543,1565,1616,1695,1792,1811,1887,1913,1947,2152,2174,2250,2290,2375,2532,2551,2611,2625,2649,2822,2949,2960,3099,3142,3353,3572,3590,3603,3608,3628,3640,3732,3748,3776,3809,4040,4325,4493,4588,4696,4722,4780,4897,4908,5157,5178,5377,5524,5556,5627,5918,6015,6016,6027,6031,6435,6450,6451,6603,6982,6983,7066,7078,7095,7269,7293,7323,7474,7881,8148,8216,8251,8564,8565,8758,8761,9105,9259,9261,9291,9352,9372,9390,9563
2,freq,0,1,2,3,4,6,7,10,15,16,19,20,23,24,25,28,36,40,44,62,63,67,75,81,95,99,105,121,141,161,164,179,181,225,237,260,263,274,276,294,307,359,423,442,446,524,525,526,533,593,603,607,686,697,774,784,812,817,864,882,888,1018,1021,1043,1073,1433,1454,1499,1616,1632,2226,2247,2306,2340,2351,2380,2407,2427,2591,2766,3981,3984,4004,4075,4079,4114,4143,4158,4173,4182,4455,4506,4639,4668,4714,4725,4815,4821,4900,4903
2,crudeRI,0,1,2,3,4,6,7,10,11,14,15,16,25,30,31,34,35,43,44,45,62,69,89,92,97,110,119,132,139,154,161,183,191,199,206,223,321,349,363,385,476,539,605,606,624,635,702,710,720,730,763,772,845,870,895,985,1153,1188,1278,1303,1380,1487,1543,1566,1593,1627,1734,1742,1986,2046,2342,2370,2620,2622,2846,2875,2890,2940,3356,3357,3358,3359,4066,4212,4250,4279,5001,5777,5873,6104,6147,7789,7873,8283,8457,9011,9066,9084,9107,9756
